Year,Team,Rank,Name,Pos,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,url,player_id
2018,NC,8,모창민,18  3B,0.83,1.49,-0.66,81,314,314,287,38,80,10,1,17,143,62,2,3,21,2,0,51,10,0,4,0.279,0.328,0.498,0.826,0.005,105.7,/player/?m=playerinfo&p_no=10093,10093
2018,KT,1,로하스,18  CF,6.85,6.25,0.59,144,645,641,564,114,172,30,1,43,333,114,18,13,71,7,4,142,10,1,2,0.305,0.388,0.590,0.978,0.061,144.7,/player/?m=playerinfo&p_no=12995,12995
2018,KT,2,황재균,18  3B,3.59,3.51,0.08,142,588,585,530,76,157,41,3,25,279,88,14,7,49,4,1,120,5,2,3,0.296,0.358,0.526,0.884,0.016,113.2,/player/?m=playerinfo&p_no=10407,10407
2018,KT,3,유한준,18  RF,2.66,4.10,-1.45,121,480,477,428,59,145,21,1,20,228,83,1,1,47,2,3,53,9,2,1,0.339,0.406,0.533,0.939,0.045,133.5,/player/?m=playerinfo&p_no=10627,10627
2018,KT,4,박경수,18  2B,2.48,2.50,-0.01,135,528,527,458,65,120,21,0,25,216,74,4,1,58,9,2,129,16,0,3,0.262,0.354,0.472,0.826,0.002,103.5,/player/?m=playerinfo&p_no=10469,10469
2018,KT,5,강백호,18  LF,2.11,3.93,-1.82,138,585,585,527,108,153,32,2,29,276,84,3,5,52,3,0,124,4,0,3,0.290,0.356,0.524,0.880,0.026,120.1,/player/?m=playerinfo&p_no=13168,13168
2018,KT,6,심우준,18  3B,1.56,-0.64,2.20,135,403,392,367,49,95,23,3,4,136,29,11,11,20,4,1,58,4,11,1,0.259,0.304,0.371,0.675,-0.063,58.0,/player/?m=playerinfo&p_no=11334,11334
2018,KT,7,오태곤,18  1B,0.68,0.58,0.10,128,374,371,342,55,87,17,2,12,144,39,13,8,24,4,0,92,7,3,1,0.254,0.310,0.421,0.731,-0.030,80.8,/player/?m=playerinfo&p_no=10249,10249
2018,KT,8,장성우,18  C,0.30,0.33,-0.03,127,393,392,356,41,92,13,0,13,144,48,1,1,32,2,0,82,8,1,2,0.258,0.321,0.404,0.725,-0.041,72.7,/player/?m=playerinfo&p_no=10235,10235
2018,KT,9,윤석민,18  DH,-0.47,1.83,-2.30,132,509,506,460,58,127,22,0,19,206,60,4,1,40,4,2,69,17,2,3,0.276,0.337,0.448,0.785,-0.013,92.9,/player/?m=playerinfo&p_no=10644,10644
2019,삼성,1,러프,19  1B,4.13,5.24,-1.12,133,568,564,472,80,138,35,2,22,243,101,6,3,80,7,6,87,18,0,9,0.292,0.396,0.515,0.911,0.044,141.0,/player/?m=playerinfo&p_no=12961,12961
