Year,Team,Rank,Name,Pos,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,url,player_id
2020,KIA,4,임기영,20  P,2.99,25,25,0,0,0,0,9,10,0,0,127.2,73,80,74.15,559,152,26,3,12,33,9,0,106,3,1,3,5.15,5.64,5.23,5.10,4.06,1.45,/player/?m=playerinfo&p_no=10909,10909
2020,KIA,5,이민우,20  P,0.61,22,22,0,0,0,0,6,10,0,0,106.0,80,87,84.60,486,129,20,4,11,47,6,0,67,8,0,4,6.79,7.39,7.18,7.33,5.20,1.66,/player/?m=playerinfo&p_no=13003,13003
2020,롯데,1,스트레일리,20  P,8.18,31,31,0,0,0,0,15,4,0,0,194.2,54,61,60.30,777,148,27,2,10,51,7,0,205,7,0,4,2.50,2.82,2.79,2.65,2.90,1.02,/player/?m=playerinfo&p_no=14627,14627
2020,롯데,2,박세웅,20  P,2.74,28,28,0,0,0,0,8,10,0,0,147.1,77,85,84.30,658,177,27,2,20,47,8,0,108,8,0,13,4.70,5.19,5.15,5.03,4.94,1.52,/player/?m=playerinfo&p_no=11310,11310
2020,롯데,3,노경은,20  P,2.74,25,24,1,1,1,0,5,10,0,0,133.0,72,76,73.40,574,139,31,1,19,40,3,2,77,6,0,3,4.87,5.14,4.97,4.77,5.20,1.35,/player/?m=playerinfo&p_no=10203,10203
2020,롯데,4,샘슨,20  P,1.69,25,25,0,0,0,0,9,12,0,0,130.0,78,87,81.50,590,167,25,1,14,36,6,0,87,7,2,8,5.40,6.02,5.64,5.42,4.61,1.56,/player/?m=playerinfo&p_no=14626,14626
2020,롯데,5,서준원,20  P,1.31,31,20,11,1,0,0,7,6,0,0,107.2,62,71,68.30,480,130,18,0,16,31,5,1,60,9,0,3,5.18,5.93,5.71,5.47,5.38,1.50,/player/?m=playerinfo&p_no=14159,14159
2020,LG,1,켈리,20  P,5.57,28,28,0,1,1,1,15,7,0,0,173.1,64,67,67.00,705,160,29,1,16,40,11,0,134,5,0,4,3.32,3.48,3.48,3.73,4.07,1.15,/player/?m=playerinfo&p_no=13934,13934
2020,LG,2,정찬헌,20  P,3.07,19,19,0,1,1,1,7,4,0,0,110.1,43,51,48.05,470,116,22,1,10,31,4,0,85,4,0,5,3.51,4.16,3.92,4.00,4.13,1.33,/player/?m=playerinfo&p_no=10533,10533
2020,LG,3,임찬규,20  P,2.83,27,26,1,0,0,0,10,9,0,0,147.2,67,76,73.95,641,143,29,2,14,65,5,0,138,5,0,4,4.08,4.63,4.51,4.83,4.26,1.41,/player/?m=playerinfo&p_no=10652,10652
2020,LG,4,윌슨,20  P,2.74,25,25,0,0,0,0,10,8,0,0,144.2,71,81,78.95,628,161,23,2,13,39,8,0,109,7,1,3,4.42,5.04,4.91,5.16,4.19,1.38,/player/?m=playerinfo&p_no=13062,13062
2020,두산,1,알칸타라,20  P,8.98,31,31,0,1,1,0,20,2,0,0,198.2,56,58,57.30,795,174,38,3,12,30,9,0,182,4,1,3,2.54,2.63,2.60,2.84,3.03,1.03,/player/?m=playerinfo&p_no=13941,13941
2020,두산,2,플렉센,20  P,3.94,21,21,0,0,0,0,8,4,0,0,116.2,39,43,43.00,472,97,14,0,6,30,2,2,132,3,0,5,3.01,3.32,3.32,3.73,2.58,1.09,/player/?m=playerinfo&p_no=14575,14575
2020,두산,3,최원준,20  P,3.46,42,18,24,3,0,0,10,2,0,0,123.0,52,52,54.55,532,134,23,3,15,35,7,0,94,4,1,2,3.80,3.80,3.99,4.10,4.59,1.37,/player/?m=playerinfo&p_no=12852,12852
2020,두산,4,이영하,20  P,2.39,42,19,23,20,0,0,5,11,6,0,132.0,68,78,78.00,605,148,26,1,9,66,5,3,85,7,1,4,4.64,5.32,5.32,5.45,4.82,1.62,/player/?m=playerinfo&p_no=12568,12568
2020,두산,5,유희관,20  P,1.38,27,27,0,0,0,0,10,11,0,0,136.1,76,91,87.05,622,190,37,5,14,39,3,4,56,8,0,1,5.02,6.01,5.75,6.05,5.15,1.68,/player/?m=playerinfo&p_no=10213,10213
2020,한화,1,김민우,20  P,3.11,26,25,1,0,0,0,5,10,0,0,132.2,64,72,69.60,593,121,16,1,15,72,7,3,124,10,2,10,4.34,4.88,4.72,4.68,4.83,1.45,/player/?m=playerinfo&p_no=11410,11410
2020,한화,2,서폴드,20  P,2.19,28,28,0,1,1,1,10,13,0,0,165.0,90,107,102.70,734,203,30,3,19,42,13,0,97,11,0,10,4.91,5.84,5.60,5.75,4.93,1.48,/player/?m=playerinfo&p_no=13938,13938
2020,한화,3,장시환,20  P,2.05,26,26,0,0,0,0,4,14,0,0,132.2,74,81,80.30,603,139,27,1,15,74,8,0,115,6,0,10,5.02,5.49,5.45,5.56,5.09,1.61,/player/?m=playerinfo&p_no=10453,10453
